,Manufacturer,Model,Year,Motor Liters,Milage,Price
359,Audi,A4,2008,2.0D,311 tūkst.,"4,000  €"
360,Audi,V250,2014,2.2D,-,"34,800  € maiņai"
361,Audi,A6,2004,2.5D,410 tūkst.,"2,250  €"
362,Audi,A4,2005,2.0D,320 tūkst.,"2,950  €"
363,Audi,A6,2017,2.0D,255 tūkst.,"19,500  €"
364,Audi,S6,1996,4.2,350 tūkst.,"7,300  €"
365,Audi,A4,2010,2.0D,230 tūkst.,"7,750  €"
366,Audi,A1,2013,1.6D,207 tūkst.,"7,450  €"
367,Audi,A4,2005,2.0D,300 tūkst.,"2,500  €"
368,Audi,A4,2006,2.0D,371 tūkst.,"1,900  €"
369,Audi,A6,1998,2.4,396 tūkst.,"1,500  €"
370,Audi,A3,2011,2.0D,160 tūkst.,"7,500  €"
371,Audi,A4,2008,2.7D,-,"6,800  €"
372,Audi,A4,2005,2.0D,-,"2,600  €"
373,Audi,A6,2004,2.5D,306 tūkst.,"3,099  €"
374,Audi,A6,2004,3.0D,404 tūkst.,"2,200  €"
375,Audi,Quattro,1990,1.8,351 tūkst.,"2,900  €"
376,Audi,A3,1997,1.6,321 tūkst.,"1,100  €"
377,Audi,A4,2005,1.9D,279 tūkst.,"2,500  €"
378,Audi,Q5,2010,3.0D,355 tūkst.,"10,200  €"
379,Audi,A6,2006,3.0D,-,"4,690  €"
380,Audi,A2,2001,1.4D,396 tūkst.,"1,800  €"
381,Audi,80,1985,1.6,185 tūkst.,"1,650  €"
382,Audi,A4,2019,2.0D,110 tūkst.,"25,750  €"
383,Audi,Quattro,1993,2.6,300 tūkst.,"2,000  €"
384,Audi,A6,2000,2.5D,350 tūkst.,"1,100  €"
385,Audi,A3,2009,1.4,246 tūkst.,"5,500  €"
386,Audi,A4,2005,2.0D,433 tūkst.,"4,250  €"
387,Audi,100,1988,2.3,190 tūkst.,"2,600  €"
388,Audi,A6,1996,2.5D,390 tūkst.,"1,600  €"
389,Audi,A4,2006,2.0D,-,"3,690  €"
390,Audi,A3,2004,2.0D,322 tūkst.,"2,900  €"
391,Audi,Allroad,2013,3.0D,-,"15,950  €"
392,Audi,A3,1998,1.8,285 tūkst.,"1,099  €"
393,Audi,80,1994,2.0,-,"1,350  €"
394,Audi,A4,2008,2.0D,352 tūkst.,"6,995  €"
395,Audi,A4,1995,1.6,360 tūkst.,750  €
396,Audi,A3,2017,1.6D,155 tūkst.,"12,800  €"
397,Audi,A8,2004,4.2,430 tūkst.,"10,300  €"
398,Audi,A4,2011,2.0D,198 tūkst.,"8,200  €"
399,Audi,A4,2008,2.0D,290 tūkst.,"4,500  €"
400,Audi,A6,2001,1.9D,366 tūkst.,"1,700  €"
401,Audi,A4,1998,1.9D,299 tūkst.,"1,500  €"
402,Audi,A3,2000,1.9D,337 tūkst.,"1,700  €"
403,Audi,Allroad,2015,3.0D,258 tūkst.,"18,600  €"
404,Audi,Q5,2017,2.0D,169 tūkst.,"27,300  €"
405,Audi,A6,2005,3.0D,265 tūkst.,"4,150  €"
406,Audi,TT,2000,1.8,164 tūkst.,"3,500  € maiņai"
407,Audi,S2,1991,2.7,321 tūkst.,"10,000  €"
408,Audi,A4,2006,3.0D,-,"5,490  €"
409,Audi,A4,2006,2.0D,299 tūkst.,"4,400  €"
410,Audi,A6,2008,3.0D,274 tūkst.,"5,750  €"
411,Audi,Quattro,1999,1.8,265 tūkst.,"1,500  €"
412,Audi,Q5,2022,2.0D,6 tūkst.,"39,900  €"
413,Audi,A4,2000,1.9D,-,"1,850  €"
414,Audi,80,1993,1.9D,482 tūkst.,900  €
415,Audi,A4,2007,2.0D,411 tūkst.,"2,650  €"
416,Audi,Q5,2017,2.0D,-,"27,810  €"
417,Audi,Quattro,2002,1.9D,374 tūkst.,"2,800  €"
418,Audi,Q3,2019,2.0D,115 tūkst.,"29,900  €"
419,Audi,A4,2019,2.0,143 tūkst.,"28,000  €"
420,Audi,A4,2006,2.0D,-,"3,990  €"
421,Audi,V70,2013,2.0,-,"8,500  € maiņai"
422,Audi,A4,2010,2.0D,-,"6,900  €"
423,Audi,A6,2014,3.0D,220 tūkst.,"16,990  €"
424,Audi,A6,2017,3.0D,227 tūkst.,"25,000  €"
425,Audi,A6,2006,3.0D,387 tūkst.,"4,900  €"
426,Audi,A6,2003,2.5D,347 tūkst.,750  €
427,Audi,A8,2007,3.0D,240 tūkst.,"7,200  €"
428,Audi,Q7,2012,3.0D,158 tūkst.,"18,200  €"
429,Audi,A7,-,-,-,pērku 
430,Audi,A3,2005,2.0D,357 tūkst.,"3,499  €"
431,Audi,Quattro,1999,1.8,170 tūkst.,"3,700  €"
432,Audi,Allroad,2007,2.7D,390 tūkst.,"2,500  €"
433,Audi,A4,2015,2.0D,-,"9,800  €"
434,Audi,A4,2003,1.8,404 tūkst.,"3,300  €"
435,Audi,A4,2002,1.9D,343 tūkst.,"1,950  €"
436,Audi,A5,2012,2.0D,247 tūkst.,"9,950  €"
437,Audi,-,2023,2.0,3.5 tūkst.,"63,490  €"
